label,source,true,pred,text_preview
1,Conversion,AI-Generated,Human,"Географиялық ақпаратты басқару (ГАБ) - картографиялық және кеңістіктік деректерді жинауды, сақтауды, өңдеуді және жүйелеуді қамтитын процесс. Деректерді талдау арқылы кеңістіктік заңдылықтар мен тенде"
1,Conversion,AI-Generated,Human,"Білім беру саласындағы басқарудың тиімділігін арттыру білім беру мекемелерінің, педагогикалық құрамның және білім алушылардың оң нәтижелерге қол жеткізуіне ықпал етеді. Оңтайлы басқару жағдайында ресу"
2,Paraphrase,AI-Obfuscated,Human,Бүгінгі сән индустриясы үшін экологиялық жауапкершілік пен әділ еңбек жағдайларын қамтамасыз ету өзекті мәселеге айналды. Сән дизайнерлері қоршаған ортаға зиянсыз шикізаттарды пайдалануға және өндіріс
1,Conversion,AI-Generated,Human,"Отырар, Тараз және Сарайшық - Қазақстан аумағындағы ірі тарихи қалалардың қатарына жатады. Аталған елді мекендер Ұлы Жібек жолының бойында орналасуына байланысты сауда-экономикалық және мәдени орталық"
1,Conversion,AI-Generated,Human,Өнеркәсіптік қауіпсіздік инженериясы өндірістік нысандарда (зауыттар мен фабрикаларда) қауіпсіздікті қамтамасыз етуге бағытталған шаралар кешенін қамтиды. Оның мақсаты - қызметкерлердің денсаулығын са
2,Paraphrase,AI-Obfuscated,Human,"Адамзат өркениетінің тарихында діни сенімдер мен нанымдар қоғамдық ұйымдасуда және жеке адамның дүниетанымында өте маңызды орын алды. Бұл сенім жүйелері этикалық ережелердің, моральдық қағидалардың қа"
1,Conversion,AI-Generated,Human,"Балалардың тіс денсаулығын сақтау - олардың болашақ тістерінің саулығын қамтамасыз етудің маңызды факторы. Осыған байланысты, балалардың тәтті тағамдарды тұтынуын шектеу және тістерін жүйелі түрде таз"
1,Conversion,AI-Generated,Human,Математикалық модельдеу - нақты құбылыстарды математикалық тілде бейнелеу процесі. Бұл тәсіл ұшақтардың ұшу динамикасын немесе ауа райының өзгеруін математикалық формулалар арқылы сипаттауға мүмкіндік
0,Conversion,Human,AI-Generated,"Экожүйелік инженерия - табиғи экожүйелердің тұрақтылығын қалпына келтіруге және жақсартуға бағытталған ғылыми тәсіл. Бионикалық шешімдер, өз кезегінде, табиғаттың тиімді құрылымдары мен процестерінен "
0,Conversion,Human,AI-Generated,"Посткеңестік экзистенциализм дегеніміз - кеңес өкіметі құлағаннан кейінгі адамдардың басындағы күйзеліс, сенімсіздік, болашаққа деген үміттің жоғалуы сияқты сезімдерді философиялық тұрғыдан түсіндіру "
1,Summary,AI-Generated,AI-Obfuscated,"Нұр-Сұлтан мемлекеттік архиві қала тарихының фотоқұжаттарына арналған ""Архивтер сөйлейді..."" көше көрмесін ашты. Көрме елорданың іргетасы қаланғаннан бүгінге дейінгі қалыптасу кезеңін, әлеуметтік өмір"
0,Conversion,Human,AI-Generated,"Әлеуметтік зерттеулер үкіметке халықтың қалай өмір сүріп жатқанын, олардың не нәрсеге мұқтаж екенін білуге көмектеседі. Осы мәліметтерді пайдалана отырып, үкімет адамдардың жағдайын жақсарту үшін әртү"
0,Conversion,Human,AI-Generated,Глоттохронология және лексикостатистика - тілдердің туыстық байланысын және олардың ажырау уақытын анықтауға бағытталған әдістер. Бұл әдістер негізгі лексиканың сақталу жылдамдығын есептеу арқылы тілд
0,Conversion,Human,AI-Generated,"Медициналық физика - бұл ауруларды анықтау мен емдеу үшін физика заңдарын қолдану. Олар рентген, УЗИ, МРТ сияқты құралдарды жасап, оларды қалай дұрыс қолдану керектігін үйретеді. Диагностикалық әдісте"
1,Conversion,AI-Generated,Human,Нарықты зерттеу - бұл тұтынушылардың қажеттіліктері мен сұраныстарын анықтауға бағытталған кешенді процесс. Оның мақсаты - компанияның бәсекелестік артықшылықтарын айқындау және оларды одан әрі жетілд
0,Conversion,Human,AI-Generated,"Әлеуметтік инфрақұрылым дегеніміз - біздің өмірімізді жақсартатын нәрселер: мектептер, ауруханалар, кітапханалар, саябақтар. Осылардың бәрі халыққа қолжетімді болса, адамдардың өмір сүру сапасы артады"
0,Conversion,Human,AI-Generated,"Көлік инфрақұрылымының болашағы инновациялық шешімдерді енгізумен тікелей байланысты. Жаңа технологиялар, атап айтқанда, интеллектуалды көлік жүйелері мен тұрақты материалдар көлік инфрақұрылымын тиім"
1,Conversion,AI-Generated,Human,"Нанотехнология дегеніміз - ғылым мен техниканың болашағы зор саласы. Ол дегеніміз, заттарды атомдар мен молекулалардың көлемінде басқару. Бұл технологиялар медицина, электроника, энергетика және табиғ"
0,Conversion,Human,AI-Generated,"Жарық инженериясы дегеніміз - жарықтың қалай жұмыс істейтінін түсініп, оны дұрыс пайдалану. Жарықтандыру жүйелерін жобалау арқылы біз үйлерді, көшелерді, кеңселерді жарық әрі ыңғайлы етеміз. Бұл проце"
2,Paraphrase,AI-Obfuscated,AI-Generated,"Бактериялық инфекциялармен күресу үшін тағайындалатын препараттар антибиотиктер деп аталады. Бұл дәрілер бактериялық өсімді бәсеңдету немесе толығымен жою арқылы жұмыс істейді, осылайша дененің инфекц"
0,Conversion,Human,AI-Generated,"Тілдік сараптама - мәтіннің мағынасын, авторлық ерекшелігін және заңдылыққа сәйкестігін анықтауға бағытталған лингвистикалық зерттеу. Оның нәтижелері сот процестерінде, дауларды шешуде және авторлық қ"
2,Paraphrase,AI-Obfuscated,Human,Түркі тілдері тобына кіретін қазақ тілі - Қазақстан Республикасының ресми мемлекеттік тілі. Бұл тіл өзінің бай тарихымен және байырғы мұрасымен ерекшеленеді. Оның эволюциясы мен таралуы елдің мәдениет
0,Conversion,Human,AI-Generated,"Адамның өмір сүру мағынасы - философиялық тұрғыдағы күрделі мәселе, ол әрбір индивидтің құндылықтары мен сенімдеріне негізделеді. Бұл сұраққа жауап іздеу арқылы адам өзінің өмірлік бағдарын анықтап, м"
1,Conversion,AI-Generated,Human,"Тарих ғылымы қазіргі таңда тек монархтар мен қақтығыстарды баяндаумен шектелмейді. Қазіргі тарихшылар зерттеу нысандарының ауқымын кеңейтіп, қарапайым халықтың тұрмысына, мәдениетіне және сандық дерек"
1,Conversion,AI-Generated,Human,"Қазіргі кезеңде ұлттық мерекелер мен дәстүрлер трансформацияға ұшырауда. Ата-бабаларымыздың мәдени мұрасын сақтай отырып, оларды заманауи контексте жаңғыртып, жастардың қызығушылығын арттыру - өзекті "
0,Conversion,Human,AI-Obfuscated,"Фейк жаңалықтар мен жалған ақпаратты анықтау үшін дереккөздің сенімділігін тексеру, ақпараттың басқа да сенімді көздермен расталуын қадағалау және автордың беделін зерттеу қажет. Сондай-ақ, жаңалықтың"
1,Conversion,AI-Generated,Human,"Мәдениеттегі гендерлік бейнелеу мәселесі назар аударуды қажет етеді. Көбінесе ерлер күшті және батырлық қасиеттермен, ал әйелдер нәзік және осал қасиеттермен сипатталады. Мұндай бейнелеу гендерлік сте"
1,Summary,AI-Generated,Human,"Шағын және орта бизнес (ШОБ) - ұлттық экономиканың қозғаушы күші әрі тірегі. Ол жұмыс орындарын құрып, инновацияларды енгізеді, ЖІӨ-ге елеулі үлес қосады. ШОБ экономиканы әртараптандырып, жергілікті д"
0,Conversion,Human,AI-Generated,"Қонақ үйдің жұмысын жеңілдету үшін арнайы бағдарламалар бар, оларды PMS дейді. Осы бағдарламаларды жаңартып, ыңғайлырақ қылсақ, қонақтарды тіркеу, бөлмелерді басқару, есеп-қисап жүргізу сияқты істер т"
2,Paraphrase,AI-Obfuscated,Human,"Ғасырлар бойы қалыптасқан және қазақ халқының мәдениетінде маңызды орын алатын қазақ күресі - ежелгі ұлттық спорт түрі. Бұл тек спорттық сайыс емес, сонымен қатар батырлық, ерлік пен дәстүрлі құндылық"
1,Conversion,AI-Generated,Human,"Қазақстан халықаралық аренада өзінің лайықты орнын иеленді деп тұжырымдауға болады. Біз көптеген мемлекеттермен, әсіресе көршілес елдермен конструктивті қарым-қатынастарды дамытуға баса назар аударамы"
1,Conversion,AI-Generated,Human,"Жер қыртысы дегеніміз - Жердің ең сыртқы, қатты қабығы. Ол бірнеше қабаттан тұрады: ең үстіңгісі - шөгінді, одан кейін гранит, ең астында базальт қабаты бар. Әр қабаттың өзіндік ерекшеліктері бар, мыс"
0,Conversion,Human,AI-Generated,Ғылыми жобаларды басқарудың тиімділігі жобаның табысты аяқталуының негізгі факторы болып табылады. Ресурстарды оңтайлы бөлу арқылы жобаның уақытылы және бюджет шеңберінде аяқталуын қамтамасыз етуге бо
1,Conversion,AI-Generated,Human,"Ажырасу деген - отбасының ойран болуы. Оның кесірінен әке-шешесі де, балалары да қатты күйзеледі, өмірлері өзгеріп кетеді. Әсіресе, балалардың көңіл-күйі бұзылып, оқулары нашарлап, достарымен тіл табы"
1,Conversion,AI-Generated,AI-Obfuscated,"Бұқаралық ақпарат құралдарындағы гендерлік бейнелерге талдау жасау өзекті мәселе болып табылады. Зерттеулер көрсеткендей, әйелдер көбінесе осал, ал ерлер күшті тұлғалар ретінде көрсетіледі. Мұндай сте"
0,Conversion,Human,AI-Generated,"Музыканың танымдық процестерге әсері - ғылыми зерттеулердің өзекті тақырыбы. Музыкалық шығармалардың ырғағы мен әуені адамның есте сақтау, зейін қою және проблемаларды шешу қабілеттерін жақсартуға ықп"
0,Conversion,Human,AI-Generated,"Өнер тарихы дегеніміз - адамзаттың басынан өткен түрлі дәуірлерде жасалған туындылардың жиынтығы. Ол қоғамның дамуына тікелей әсер етеді, себебі өнер адамдардың дүниетанымын, құндылықтарын қалыптастыр"
1,Conversion,AI-Generated,AI-Obfuscated,"Экологиялық тәуекелдерді бағалау қоршаған ортаға ықтимал зиянның ауқымын анықтауды көздейді. Ал тәуекелдерді басқару - осы зиянды болдырмау немесе залалсыздандыру мақсатындағы шараларды іске асыру, он"
1,Conversion,AI-Generated,Human,"Экономикалық дамудың динамикасы экономикалық циклдермен сипатталады, олар өсу және құлдырау кезеңдерін қамтиды. Экономикалық құлдыраудың тереңдеуі дағдарысқа әкелуі мүмкін. Мемлекеттік органдар дағдар"
1,Conversion,AI-Generated,Human,"Постмодернизм дегеніміз - ескі құндылықтар мен үлкен әңгімелерге күмәнмен қарайтын бір философия. Олардың айтуынша, білім әркімде әртүрлі, шындық көп және мәтіндердің маңызы зор. Бірақ, кейбіреулер ос"
0,Conversion,Human,AI-Generated,"Құрметті саяхатшылар, сапарыңыз сәтті өтуі үшін бірнеше кеңеске назар аударыңыз. Сапар алдында қажетті құжаттардың түгелдігін, жарамдылық мерзімін тексеріп, көшірмелерін сақтаңыз. Қаржылық қауіпсіздік"
1,Conversion,AI-Generated,Human,"Туризмнің дамуы жергілікті экономикаға серпін береді. Туристердің келуі қаржы ағынын қамтамасыз етеді, бұл өз кезегінде сауда және қоғамдық тамақтану орындарының кірістерін ұлғайтады. Нәтижесінде жаңа"
1,Conversion,AI-Generated,AI-Obfuscated,"Азық-түлікті сақтаудың қазіргі заманғы әдістері, атап айтқанда вакуумдау, мұздату және арнайы қаптамалар, өнімдердің жаңа сапасын ұзақ уақыт сақтауға мүмкіндік береді. Бұл технологиялар тез бұзылатын "
0,Conversion,Human,AI-Generated,"Дін - адамдарға рухани күш беретін, өмірге деген көзқарасын қалыптастыратын маңызды құбылыс. Бірақ кейбір адамдар дінді бұрмалап, зорлық-зомбылыққа шақыратын экстремизмге ұрынуы мүмкін. Сондықтан, дін"
1,Conversion,AI-Generated,Human,"Мәдени демалыс - жеке тұлғаның рухани және интеллектуалдық дамуына ықпал ететін маңызды фактор. Ол музейлерге бару, тарихи орындармен танысу және жаңа білім алу арқылы жүзеге асырылады. Бұл тәжірибе о"
0,Conversion,Human,AI-Generated,"Қабылдау - сыртқы ортадан түскен ақпаратты сезім мүшелері арқылы қабылдап, оны өңдеу және жүйелеу процесі. Бұл процесс нәтижесінде қабылданған ақпаратқа мағына беріліп, индивидтің дүниетанымы қалыптас"
1,Conversion,AI-Generated,Human,"Текстік деректерді сақтаудың екі негізгі әдісі бар: мұрағаттау және ұзақ мерзімді сақтау. Мұрағаттау деректерді сығу және сақтау процесін білдіреді, ал ұзақ мерзімді сақтау деректердің ұзақ уақыт бойы"
0,Conversion,Human,AI-Generated,"Зауыттар мен фабрикаларда апат болмас үшін қауіпсіздікке қатты көңіл бөлу керек. Әркім қауіпсіздік ережелерін біліп, дұрыс қолдануы керек. Егер бірдеңе дұрыс болмаса, дереу хабарлап, апатты болдырмауғ"
0,Conversion,Human,AI-Generated,"Конституциялық құқық дегеніміз - мемлекеттің негізгі заңы мен азаматтардың құқықтарын қорғауға бағытталған ережелердің жиынтығы. Ол уақыт өте келе дамып, адам құқықтарын қамтамасыз етуге тырысады. Бұл"
1,Summary,AI-Generated,AI-Obfuscated,"Мемлекет басшысы Ақпарат министрін қабылдап, ақпараттық саясатты жетілдіру, азаматтық қоғаммен ықпалдастықты нығайту, жастар мен еріктілерді қолдау, сондай-ақ ""Халық үніне құлақ асатын мемлекет"" тұжыр"
1,Conversion,AI-Generated,Human,Кино және медиа индустриясы қазіргі таңда қарқынды даму үстінде. Бұған дейін тек кинотеатрларда көрсетілетін фильмдерді қазіргі уақытта мобильді құрылғылар арқылы да көруге мүмкіндік бар. Технологиялы
0,Conversion,Human,AI-Generated,"Еуразиялық экономикалық интеграция дегеніміз - көршілес елдердің сауда-саттығын, инвестициясын жақсарту үшін бірігуі. Бұл бірігу арқылы экономикамыз өсіп, халықтың жағдайы жақсаруы мүмкін. Әрине, бәрі"
0,Conversion,Human,AI-Generated,"Мемлекет халықтың жағдайын жақсарту үшін әлеуметтік саясат жүргізеді. Оның мақсаты - жұмыссыз қалғандарға көмектесу, зейнеткерлерге лайықты өмір сүруге жағдай жасау және мүгедек жандарды қолдау. Бұл с"
0,Conversion,Human,AI-Generated,"Психикалық денсаулық мәселелері бар адамдарға қолдау көрсету өте маңызды. Оларға түсіністікпен қарап, қолдау білдіріп, жалғыз емес екенін сездіру керек. Көмек қажет болса, жақындарыңызды немесе маманд"
0,Conversion,Human,AI-Generated,"Нанның дәмі тіл үйірерлік болсын десең, сапалы ұн мен жақсы ашытқы қолдану керек. Дұрыс пісірсең, нанның іші жұмсақ, сырты қытырлақ болады. Ал нанды ұзақ сақтау үшін, оны дұрыс орап, салқын жерге қойғ"
0,Conversion,Human,AI-Generated,"Қазір бәрі онлайн ғой, сондықтан контент жасап, цифрлық жарнаманы дұрыс пайдалансаң, халықты өзіңе қаратасың. Бұрынғы жарнамалар істемейді, адамдар қызық әрі пайдалы нәрсе іздейді. Сондықтан қызықты к"
1,Conversion,AI-Generated,Human,"Дерекқорларда мәтіндік деректерді сақтау қарапайым болып табылады. Мәтіндерді сақтау үшін дерекқорлар әдетте үлкен көлемді сақтау құрылғыларын пайдаланады. Бұл сақталған мәтіндерді іздеуге, сұрыптауға"
1,Conversion,AI-Generated,Human,"Туристік кешендерді құру - бұл демалыс инфрақұрылымын жобалау және салу процесі, ол қонақ үйлерді, қоғамдық тамақтану орындарын және ойын-сауық нысандарын қамтиды. Негізгі мақсат - келушілер үшін қола"
0,Conversion,Human,AI-Generated,"Қазақтың зергерлік бұйымдары - баға жетпес мұра. Қазіргі кезде осы қолөнерді қайта жаңғыртып, жаңаша дамыту - маңызды міндет. Шеберлердің ескі техникаларды үйреніп, заманауи трендтермен үйлестіруі - з"
1,Conversion,AI-Generated,AI-Obfuscated,Жаяу саяхаттың танымалдығын арттыру және туризмді дамыту мақсатында жаяу жүргіншілерге арналған соқпақ жолдардың санын көбейту қажет. Бұл шара табиғатпен үйлесімділікке қол жеткізуге және азаматтардың
1,Conversion,AI-Generated,Human,"Қазіргі спорттық заттардың бәрі технологияның арқасында жақсарып жатыр. Жаңа материалдар мен конструкциялар спортшылардың нәтижесін көтеріп, жарақат алудан сақтайды. Сондықтан спорт саласындағы зертте"
0,Conversion,Human,AI-Generated,"Ауада аман-есен ұшу үшін ұшақтарды жақсылап тексеріп, ұшқыштарды жаттықтыру керек. Кез келген қателіктің алдын алу үшін барлық ережелерді қатаң сақтаған жөн. Сонда аспандағы сапарларымыз қауіпсіз бола"
1,Summary,AI-Generated,AI-Obfuscated,Ұлы Жеңістің мерейтойына орай Алматыда Армия үйі аумағында жауынгерлік техникалардың ашық аспан астындағы жаңа мұражайы ашылады. Бұл мұражай 28 гвардияшы-панфиловшылар саябағындағы мемориалдық кешенні
1,Summary,AI-Generated,AI-Obfuscated,"ҚХР-дың Тарбағатай аймағынан шыққан 20 жастағы Бүрлен Әділетқызы Қазақстанға велосипедпен 2300 шақырымды 23 күнде жүріп өтті. Оның мақсаты - ""Бір белдеу, бір жол"" жобасының 10 жылдығы"
1,Summary,AI-Generated,Human,"""Өз заманының генийлері. Инбн Сина, Бируни және ұмытылған ұлылық"" атты еңбек Шығыс ғұламалары Ибн Сина мен Бирунидің ғылымға қосқан өлше"
